Team,Year,Name,Age_x,Position_x,Games_x,Games Started_x,Minutes Played Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percentage,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percentage,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game,Awards_x,Age_y,Position_y,Games_y,Games Started_y,Minutes Played,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,Bad Pass TO,Lost Ball TO,Shooting Fouls,Offensive Fouls,Shooting Fouls Drawn,Points Generated by Assists,And1s,Shots Blocked,Awards_y
DET,2004,Chucky Atkins,29,PG,40,0,18.8,2.2,5.9,.374,1.1,3.3,.323,1.2,2.6,.438,.464,0.8,1.1,.721,0.2,1.1,1.2,2.4,0.5,0.0,1.2,1.5,6.2,,29,PG,40,0,751,100,0,0,0,0,1.9,-5.7,33,10,19,3,10,200,1,4,
DET,2004,Elden Campbell,35,C,65,27,13.7,2.1,4.8,.439,0.0,0.0,,2.1,4.8,.439,.439,1.3,1.9,.685,0.8,2.4,3.2,0.7,0.3,0.8,1.0,2.1,5.6,,35,C,65,27,892,0,0,0,2,98,4.6,-2.5,15,23,69,20,58,95,7,25,
DET,2004,Bob Sura,30,SG,53,0,13.3,1.3,3.3,.410,0.2,0.7,.250,1.2,2.6,.453,.436,0.9,1.3,.696,0.6,1.4,1.9,1.7,0.7,0.2,0.7,1.6,3.8,,30,SG,53,0,707,9,82,9,0,0,0.9,-6.8,23,8,24,6,26,198,1,11,
DET,2004,Željko Rebrača,31,C,21,2,10.6,1.0,2.6,.407,0.0,0.0,,1.0,2.6,.407,.407,1.0,1.3,.786,0.9,1.4,2.3,0.2,0.2,0.4,0.6,2.1,3.1,,31,C,21,2,222,0,0,0,0,100,-8.1,-15.4,6,3,17,3,14,10,2,2,
DET,2004,Darvin Ham,30,SF,54,2,9.0,0.7,1.4,.493,0.0,0.0,.500,0.7,1.4,.493,.500,0.4,0.6,.600,0.9,0.9,1.7,0.3,0.2,0.1,0.6,1.2,1.8,,30,SF,54,2,484,0,8,83,10,0,2.6,-4.4,13,9,26,6,16,36,3,3,
DET,2004,Hubert Davis,33,SG,3,0,7.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.3,0.0,,33,SG,3,0,23,68,33,0,0,0,38.5,32.1,0,0,1,0,0,2,0,0,
DET,2004,Tremaine Fowlkes,27,SF,36,0,7.3,0.4,1.3,.313,0.0,0.2,.125,0.4,1.1,.350,.323,0.4,0.5,.722,0.5,1.0,1.5,0.4,0.3,0.1,0.3,1.0,1.2,,27,SF,36,0,261,0,14,77,9,0,-5.0,-12.3,6,2,7,3,7,29,0,8,
DET,2004,Darko Miličić,18,C,34,0,4.7,0.5,1.9,.262,0.0,0.0,.000,0.5,1.9,.266,.262,0.4,0.7,.583,0.3,0.9,1.3,0.2,0.2,0.4,0.4,1.0,1.4,,18,C,34,0,159,0,0,0,6,94,-12.9,-20.3,3,6,18,2,11,16,2,10,
DET,2004,Team Totals,,,82,82,241.2,33.5,77.0,.435,4.1,11.8,.344,29.4,65.2,.452,.461,19.0,25.3,.753,12.4,30.4,42.8,20.8,8.0,7.0,15.1,20.3,90.1,,,,82,82,19780,20,20,20,20,20,6.5,1.0,522,362,693,179,788,3676,149,410,
DET,2005,Richard Hamilton,26,SG,76,76,38.5,6.7,15.3,.440,0.5,1.6,.305,6.2,13.7,.455,.455,4.8,5.6,.858,1.0,2.9,3.9,4.9,1.0,0.2,2.9,3.1,18.7,,26,SG,76,76,2926,1,93,7,0,0,7.5,10.9,122,46,63,39,151,804,21,78,
